iter	Logloss
0	0.6873527591
1	0.6810818032
2	0.675773198
3	0.6701550829
4	0.6658358103
5	0.6600872451
6	0.6563296932
7	0.6522744743
8	0.6486035958
9	0.6450078628
10	0.6413848899
11	0.6374745101
12	0.6339765453
13	0.6300994176
14	0.6265223286
15	0.6221584463
16	0.6181053792
17	0.6154498165
18	0.6118457643
19	0.6085572283
20	0.6059875908
21	0.6021724459
22	0.5987877933
23	0.5951384099
24	0.5928830481
25	0.589636502
26	0.5860628395
27	0.5823224023
28	0.578132078
29	0.57533417
30	0.5729318333
31	0.5709140923
32	0.5670495941
33	0.5650024112
34	0.561975984
35	0.5593627502
36	0.5564523093
37	0.5542757199
38	0.5515328961
39	0.5489745097
40	0.546427341
41	0.544367187
42	0.540941924
43	0.5380931609
44	0.5366811666
45	0.5342367646
46	0.5314236369
47	0.5287611115
48	0.5265534651
49	0.5251228083
50	0.5220621241
51	0.5205824006
52	0.5189599521
53	0.5167795822
54	0.5158128761
55	0.5137445755
56	0.5122690911
57	0.5105892104
58	0.5082897505
59	0.5073831339
60	0.5054643572
61	0.5041605906
62	0.5020795814
63	0.500735018
64	0.4991970941
65	0.4972685683
66	0.4964927589
67	0.4939375369
68	0.4928545857
69	0.4911223199
70	0.4894611683
71	0.4873308415
72	0.4855744608
73	0.4842646726
74	0.4826854023
75	0.481637734
76	0.4808647624
77	0.4796600909
78	0.4781748653
79	0.4769998937
80	0.4754154671
81	0.4747858176
82	0.4736151562
83	0.4720232975
84	0.4709835193
85	0.4694434327
86	0.4677517371
87	0.4666684838
88	0.4655803843
89	0.4647424928
90	0.4629936768
91	0.461700142
92	0.4607540603
93	0.4598756199
94	0.4588619077
95	0.4576093773
96	0.4561202889
97	0.4543762628
98	0.452932713
99	0.4516585975
100	0.4507759568
101	0.4496203278
102	0.4488886758
103	0.4482591014
104	0.4472265183
105	0.446349162
106	0.4449623206
107	0.4437608514
108	0.4423500385
109	0.4406751708
110	0.4398316617
111	0.439014035
112	0.4382883528
113	0.4375038809
114	0.4365065516
115	0.4351962565
116	0.4341151378
117	0.4325806577
118	0.4317653777
119	0.4307895151
120	0.4298113311
121	0.429178441
122	0.4279222264
123	0.4264172638
124	0.426032033
125	0.4249030856
126	0.4241098393
127	0.4227445949
128	0.4217862312
129	0.4213924585
130	0.4209563523
131	0.4204803899
132	0.419514313
133	0.418965842
134	0.4179354037
135	0.4169685606
136	0.4160682627
137	0.4150798974
138	0.4142538701
139	0.4135520266
140	0.4129072789
141	0.411916379
142	0.4113613492
143	0.4107080795
144	0.4098397712
145	0.4090441447
146	0.408368138
147	0.4074192291
148	0.40673881
149	0.4060039783
150	0.40551999
151	0.4052457465
152	0.4046788378
153	0.4041951274
154	0.4035879318
155	0.4027698487
156	0.402454391
157	0.4016450897
158	0.4010859233
159	0.4001833329
160	0.3995888994
161	0.3989413107
162	0.3980945407
163	0.3974343812
164	0.3970108359
165	0.396409632
166	0.3958216317
167	0.3953873971
168	0.394873237
169	0.3942219332
170	0.3938725629
171	0.3932458677
172	0.3928076196
173	0.3918661587
174	0.3912759322
175	0.3905802557
176	0.3899836517
177	0.3896608439
178	0.3892015784
179	0.388725957
180	0.3881171083
181	0.3872930311
182	0.3867927011
183	0.3863983371
184	0.3859470384
185	0.3853779424
186	0.3850940673
187	0.3847396891
188	0.384206317
189	0.3837742397
190	0.383413639
191	0.3829300122
192	0.3822101032
193	0.3816574982
194	0.3813374569
195	0.3806946072
196	0.3799952651
197	0.3795881585
198	0.3790323341
199	0.3786642438
200	0.3784244597
201	0.3779288498
202	0.3776141321
203	0.3771867208
204	0.3768221274
205	0.3762134358
206	0.3756122929
207	0.3752612398
208	0.3747073925
209	0.3743743554
210	0.3736569788
211	0.3734500935
212	0.3731347094
213	0.3726618771
214	0.3720808052
215	0.3715794953
216	0.37100837
217	0.3707454831
218	0.3705854083
219	0.3702158747
220	0.369843722
221	0.3695161072
222	0.3691584207
223	0.3686902543
224	0.3683535464
225	0.3680211886
226	0.3672869854
227	0.3668513636
228	0.3666822185
229	0.3664864752
230	0.3660292873
231	0.3657577947
232	0.365264067
233	0.3647707467
234	0.364498161
235	0.3643391427
236	0.3641580346
237	0.3636701526
238	0.3631858863
239	0.3627768282
240	0.3622806206
241	0.3621295726
242	0.3618645966
243	0.3615059112
244	0.3611370549
245	0.3608642993
246	0.3605755354
247	0.3600461578
248	0.3596778389
249	0.359113412
250	0.3586412023
251	0.3583497334
252	0.358016465
253	0.3576184124
254	0.3573141866
255	0.3569018322
256	0.3563814129
257	0.3557887426
258	0.3554780884
259	0.3550880177
260	0.3548595564
261	0.3543442216
262	0.3539681032
263	0.353657098
264	0.3532722202
265	0.3529002112
266	0.3525674649
267	0.3523734347
268	0.351945426
269	0.3517827373
270	0.3514387801
271	0.3512118417
272	0.3509594451
273	0.3505285077
274	0.3501648222
275	0.3499450023
276	0.349671018
277	0.3493917503
278	0.3489789023
279	0.3487274218
280	0.348447743
281	0.3480502004
282	0.3477037322
283	0.3474292231
284	0.3470661677
285	0.346929884
286	0.3467146797
287	0.3464715619
288	0.3463613583
289	0.3460538212
290	0.3457846918
291	0.3455453758
292	0.3453110518
293	0.3448366491
294	0.3445307755
295	0.344165996
296	0.3438238813
297	0.343649127
298	0.3434549034
299	0.3431446801
